Name_1,HaKiDaSName,RA_1,DEC_1,GaiaID,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Vmag,Kmag_x,Name_2,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
M4L3209,HaKiDaS00109,246.015246,-26.401019,6045490623204749824,10.158557,11.203219,9.180009,10.767999999999999,6.441,M4L3209,3917.62144182,0.758041961669,0,-1.39295403882,0.28858049389699997,-28.97
BD+042466,HaKiDaS00110,171.704125,3.866281,3812733079585100032,10.315634,10.757048,9.736517,10.679,8.531,BD+042466,5068.46467254,2.1885849583000003,0,-1.9539671574400002,0.0739660941885,10.6643757437
HD80606,HaKiDaS00111,140.653029,50.603256,1019003226022657920,8.820078,9.214816,8.303004,9.009,7.315,HD80606,5506.65992588,4.3575499105,2,0.286580217551,0.09001679794339999,-23.2454693995
KXLyr,HaKiDaS00112,278.310854,40.175197,2110264427784391168,11.037174,11.256618,10.645092,10.874,9.921,KXLyr,7035.6963725,3.5465016120099997,0,-1.00594646771,0.38204516020900003,1.73652174384
M4L2406,HaKiDaS00113,245.881508,-26.451033000000002,6045478425497018240,10.04347,11.147194,9.05273,10.68,6.257000000000001,M4L2406,3917.5921134000005,0.772262337779,0,-1.41886456287,0.265645275006,-28.98
GJ1233,HaKiDaS00114,288.048063,57.670322,2143016302194287488,6.819033,7.245064299999999,6.2849383,7.0329999999999995,5.2010000000000005,GJ1233,5317.94036668,4.470570645,2,0.0710314711059,0.0566032862911,-3.59
LP877-70,HaKiDaS00115,347.416167,-20.967561,2386336846734520576,9.915451,10.294976,9.405137,10.146,8.346,LP877-70,5387.25659792,4.224028906,2,-0.549416354446,0.11806594432600001,16.41
V445Oph,HaKiDaS00116,246.172358,-6.543667,4352084489819078784,10.901791000000001,11.332927,10.340825,11.308,9.208,V445Oph,6047.25266725,3.4815723930800004,1,-0.6815358380840001,0.248413858108,-14.9659087074
HD232078,HaKiDaS00117,294.552038,16.809207999999998,4321939248248701824,12.549799,14.033743,11.365764,13.72,8.067,HD232078,4356.51981952,0.176730157621,0,-1.6789436490399998,0.36856252723099997,-18.43
RRCet,HaKiDaS00120,23.03605,1.343125,2558296724402139392,9.749573,10.009485,9.354435,9.675,8.59,RRCet,6814.17614633,3.14693439259,1,-0.708355922998,0.340366029669,28.406301608200003
HE1429-0551,HaKiDaS00121,218.130025,-6.083544,6331867944289331584,12.403445,13.017176,11.685103,12.75,10.066,HE1429-0551,4547.973412300001,1.5140779959900001,0,-1.7340277774900001,0.276114340635,-12.8029854438
HD23484,HaKiDaS00122,56.038792,-38.283178,4856592239127350400,6.734895699999999,7.209382000000001,6.1555305,6.99,4.934,HD23484,5062.06070352,4.507919097559999,2,0.0625712916712,0.0801112354877,-12.8046915226
BD+03740,HaKiDaS00123,75.31839599999999,4.107642,3238602707816488064,9.650396,9.897565,9.263159,9.79,8.516,BD+03740,6269.57400204,3.945105883,0,-2.63431094876,0.0318766550921,-28.098354547
HD190647,HaKiDaS00124,301.831621,-35.536181,6697758334244808192,7.5941997,7.984246700000001,7.091103599999999,7.7829999999999995,6.16,HD190647,5590.11054785,4.10141248601,2,0.26766127283700003,0.021883552342,14.77
HD202206,HaKiDaS00125,318.743358,-20.789703,6832155218215202944,7.9105144,8.282767999999999,7.41973,8.079,6.485,HD202206,5646.40296898,4.38426693593,2,0.287794916165,0.037972698642,26.55
60033,HaKiDaS00126,196.30731200000002,28.967469,1461256111571623552,11.770133,12.022594,11.361068,12.0,10.579,60033,6028.35902747,3.90575857792,0,-1.20639071592,0.0615627106735,1.2673424752299998
LP894-3,HaKiDaS00127,89.46362099999999,-30.898047,2891152566675457280,11.090009,11.368361,10.65858,11.345,9.767000000000001,LP894-3,5722.392325899999,4.25008476921,0,-1.55693584329,0.06001282346419999,-15.5421621982
HE0010-3051,HaKiDaS00128,3.332158,-30.583844,2319828320378748544,12.482028999999999,13.244063,11.652994999999999,12.37,9.789,HE0010-3051,4560.94481309,0.559012981241,0,-1.31595147396,0.33615342266599996,-18.3747245573
HD5426,HaKiDaS00129,13.923925,-33.754825,5003383672864259968,9.391397,9.827862,8.815074000000001,9.658,7.547999999999999,HD5426,4940.92903661,2.44380326193,0,-1.9810396290599999,0.0370252993866,-24.139974141
HD233832,HaKiDaS00130,171.523217,50.376664,790236569003888000,9.945572,10.418604,9.346544,10.128,8.012,HD233832,5028.57329435,4.60486929411,0,-1.07534330859,0.267190531049,-19.71
HD12661,HaKiDaS00131,31.143217,25.412364,105332908999068032,7.24746,7.628574,6.7626029999999995,7.433,5.86,HD12661,5800.8714953,4.33900446871,2,0.28306239484,0.058194645646400006,-22.417422766799998
M13III-59,HaKiDaS00132,250.40145800000002,36.417589,1328056630126385536,12.150222,12.838762,11.365731,10.91,9.512,M13III-59,5993.85921485,0.9395238889830001,0,-2.11982222429,0.331237006699,-15.68
HD23798,HaKiDaS00134,56.693596,-30.852744,4863785897031325824,7.9196186,8.557576,7.187764,8.309,5.517,HD23798,4380.38361197,1.0167894933,0,-2.0624463802400004,0.0814166325741,-20.3
HD18131,HaKiDaS00135,43.661625,-5.327569,5184265327181629056,7.0910926,7.6062326,6.4662066,7.318,5.0889999999999995,HD18131,4854.37558945,3.17993158041,1,-0.018327198657400002,0.05472074761390001,27.48
HD251432,HaKiDaS00136,91.507013,25.284439000000003,3426593696946130816,8.993155999999999,9.671655,8.236854,9.443,6.431,HD251432,4498.13617046,2.10744611906,1,-0.165666242368,0.107978309252,-17.36
HD141937,HaKiDaS00137,238.075121,-18.437707999999997,6248534171318085376,7.091492999999999,7.43083,6.638394,7.2589999999999995,5.763999999999999,HD141937,6088.83520451,4.456052982709999,2,0.104865223307,0.04810640286719999,-6.09113755709
BD+013070,HaKiDaS00139,230.665387,1.267183,4420705899564396288,9.819503,10.235459,9.264544,9.992,8.04,BD+013070,5264.05133008,3.1097262107,0,-1.58085824195,0.043581852152100004,27.9710607156
HD37828,HaKiDaS00140,85.228308,-11.198511,3010244175773318144,6.4824867,7.135217999999999,5.7474914,6.876,4.064,HD37828,4525.3620574,1.34252609994,0,-1.42107109584,0.07732347562089999,-17.4
HD2665,HaKiDaS00141,7.684575,57.064882999999995,421805237748755968,7.4574428,7.935635,6.849256,7.737,5.474,HD2665,4888.78575241,2.30354827813,0,-2.30772089379,0.465976326578,18.73
HD46375,HaKiDaS00142,98.304796,5.463444,3131777319158581376,7.695335000000001,8.152191,7.134639999999999,7.919,6.0,HD46375,5217.6914458,4.42238811313,2,0.141463091869,0.0828523547633,5.97394124395
M13III-52,HaKiDaS00143,250.3934,36.416,1328057390341058304,12.227196000000001,12.901237,11.446795,12.09,9.621,M13III-52,4617.09775631,0.753894005538,0,-1.56810402338,0.0956170371566,-15.68
HD168746,HaKiDaS00146,275.459071,-11.924169000000001,4153637759337630720,7.771689,8.149744,7.277923599999999,7.954,6.252999999999999,HD168746,5671.15700595,4.32108913432,2,-0.126374047075,0.0362024776664,11.7178168323
G154-34,HaKiDaS00147,268.993721,-16.405697,4144902513074822272,13.516855,15.567542000000001,12.163282,14.97,8.236,G154-34,3550.54352446,-1.02993361515,0,-2.6252093264,0.23235102105,-17.02
LP584-45,HaKiDaS00148,0.296671,1.9270919999999998,2738677379375788160,11.47357,11.661871000000001,11.151911,11.645,10.577,LP584-45,6873.85329779,4.5719849549000005,0,-2.39897119318,0.0696754813973,24.0
HD23596,HaKiDaS00149,56.999658,40.529431,224870885460646016,7.1035576,7.425822,6.670971000000001,7.252999999999999,5.872999999999999,HD23596,5975.97705119,4.122591957169999,2,0.226325697335,0.04373879917719999,-11.018553111400001
