#lambda (Ang), continuum-normalized flux
6424.260, 0.9995
6424.400, 0.9995
6424.540, 0.9995
6424.680, 0.9994
6424.820, 0.9994
6424.960, 0.9994
6425.100, 0.9994
6425.240, 0.9994
6425.380, 0.9995
6425.520, 0.9995
6425.660, 0.9995
6425.800, 0.9995
6425.940, 0.9996
6426.080, 0.9996
6426.220, 0.9996
6426.360, 0.9996
6426.500, 0.9996
6426.640, 0.9996
6426.780, 0.9996
6426.920, 0.9996
6427.060, 0.9996
6427.200, 0.9996
6427.340, 0.9996
6427.480, 0.9997
6427.620, 0.9997
6427.760, 0.9996
6427.900, 0.9996
6428.040, 0.9996
6428.180, 0.9996
6428.320, 0.9996
6428.460, 0.9996
6428.600, 0.9995
6428.740, 0.9994
6428.880, 0.9993
6429.020, 0.9990
6429.160, 0.9986
6429.300, 0.9979
6429.440, 0.9970
6429.580, 0.9957
6429.720, 0.9940
6429.860, 0.9920
6430.000, 0.9895
6430.140, 0.9869
6430.280, 0.9842
6430.420, 0.9818
6430.560, 0.9797
6430.700, 0.9784
6430.840, 0.9778
6430.980, 0.9782
6431.120, 0.9793
6431.260, 0.9811
6431.400, 0.9834
6431.540, 0.9859
6431.680, 0.9883
6431.820, 0.9904
6431.960, 0.9922
6432.100, 0.9935
6432.240, 0.9945
6432.380, 0.9952
6432.520, 0.9957
6432.660, 0.9960
6432.800, 0.9963
6432.940, 0.9966
6433.080, 0.9969
6433.220, 0.9972
6433.360, 0.9976
6433.500, 0.9979
6433.640, 0.9982
6433.780, 0.9985
6433.920, 0.9988
6434.060, 0.9990
6434.200, 0.9992
6434.340, 0.9993
6434.480, 0.9994
6434.620, 0.9995
6434.760, 0.9995
6434.900, 0.9995
6435.040, 0.9996
6435.180, 0.9996
6435.320, 0.9996
6435.460, 0.9996
6435.600, 0.9995
6435.740, 0.9995
6435.880, 0.9995
6436.020, 0.9995
6436.160, 0.9994
6436.300, 0.9994
6436.440, 0.9994
6436.580, 0.9994
6436.720, 0.9993
6436.860, 0.9992
6437.000, 0.9991
6437.140, 0.9988
6437.280, 0.9984
6437.420, 0.9978
6437.560, 0.9968
6437.700, 0.9954
6437.840, 0.9935
6437.980, 0.9910
6438.120, 0.9880
6438.260, 0.9845
6438.400, 0.9806
6438.540, 0.9768
6438.680, 0.9733
6438.820, 0.9704
6438.960, 0.9686
6439.100, 0.9680
6439.240, 0.9687
6439.380, 0.9706
6439.520, 0.9735
6439.660, 0.9771
6439.800, 0.9810
6439.940, 0.9848
6440.080, 0.9883
6440.220, 0.9913
6440.360, 0.9938
6440.500, 0.9957
6440.640, 0.9970
6440.780, 0.9980
6440.920, 0.9986
6441.060, 0.9990
6441.200, 0.9992
6441.340, 0.9994
6441.480, 0.9994
6441.620, 0.9995
6441.760, 0.9995
6441.900, 0.9995
6442.040, 0.9995
6442.180, 0.9995
6442.320, 0.9995
6442.460, 0.9995
6442.600, 0.9995
6442.740, 0.9995
6442.880, 0.9995
6443.020, 0.9995
6443.160, 0.9995
6443.300, 0.9995
6443.440, 0.9995
6443.580, 0.9995
6443.720, 0.9995
6443.860, 0.9995
6444.000, 0.9995
6444.140, 0.9995
6444.280, 0.9995
6444.420, 0.9995
6444.560, 0.9995
6444.700, 0.9995
6444.840, 0.9995
6444.980, 0.9995
6445.120, 0.9995
6445.260, 0.9995
