Name,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
63160,5625.94899102,4.13108159529,2,-0.2760092059,0.0719042783287,1.3731590356999999
HD252370,4943.79823468,2.31873539225,1,-0.40455613868699997,0.113280882504,-16.97
HD82943,5859.30445283,4.32731284554,2,0.22146757167,0.0390264451826,-26.4085995207
HD114729,5658.02132384,3.954631529,0,-1.42145833333,0.641494347804,-26.78
HD209458,6029.5642628,4.30432674797,2,-0.0617011586505,0.0496737330088,-20.7324052573
HD209458,6029.5642628,4.30432674797,2,-0.0918620403124,0.053233859960400004,-21.2869447627
HD26297,4358.30176842,1.06770793248,0,-1.74024309121,0.0509164312241,-23.66
LP877-23,5781.08216947,4.66108602627,0,-1.56517345375,0.0718885059396,15.22
G18-24,6608.457057899999,4.6277863216,0,-1.12544938724,0.09820747905060001,14.1
HD219542,5802.92532651,4.280727865869999,2,0.0781420959098,0.051245902956,-30.2063801897
HD216435,5884.37351746,4.03580395935,2,0.177473341827,0.07104985506139999,-20.1476414561
HD50281A,4664.0013383000005,4.612068546680001,1,0.100541234331,0.0747773080616,8.27208519003
HD198269,4484.82783807,1.25971636217,0,-1.74435100313,0.163355671848,23.0139846399
HD24421,6057.55131681,4.0637266814199995,2,-0.381224395166,0.032316757125800004,-8.1699475886
HD208487,6044.19340084,4.30944658518,0,-1.6222006829299997,0.126601195146,25.22
HD22282,5483.53989818,4.463978060630001,2,0.0697568768023,0.06339103754480001,-27.899568196500002
HD6434,5683.355066,4.282024514630001,2,-0.518027352493,0.055633064878599994,20.67
HD69960,5636.11105736,4.07030715648,2,0.20852792917500002,0.0635585651239,-6.960451852010001
HD83212,4452.06450918,1.3674728245399999,0,-1.3596144892200002,0.0358602003204,24.866154909000002
HD4306,4997.3396331,2.29527865564,0,-3.09147513128,0.0413408837288,28.01
HD122563,4660.62595622,1.5038480895200002,0,-2.45262488425,0.0203664486976,26.576234793
16CygB,5740.66652093,4.28628818186,2,-0.576922988729,0.223153164863,9.37034683139
HD222582,5729.22867672,4.292930564680001,2,-0.0604291900229,0.038068630135199996,-30.3765733944
HD145675,5256.24816085,4.39559517837,2,0.365873153392,0.09026214100989999,-4.86031131512
G41-41,6557.89299526,4.243869039140001,0,-1.34478571429,0.339160766467,-4.37476562992
HD175305,4941.36471322,2.6154958901599996,0,-1.42184220524,0.0461835742132,-4.57264223149
HD72659,5795.61136912,4.07127614078,2,-0.0598628588222,0.0414546145012,20.1415540064
HD26151,5350.33756039,4.458183093640001,2,0.206292418222,0.0786789266239,-19.998215190899998
HD106252,5782.94603627,4.29483773169,2,-0.105044238774,0.0296828030897,-27.6730903577
HD26,5047.46597041,2.6962753137099997,1,-0.845125792234,0.12396564831399999,26.895885983899998
HD216770,5384.7089541000005,4.45772411225,2,0.315992941008,0.0684087334276,28.116088564400002
HD216770,5384.7089541000005,4.45772411225,2,0.31356628097100003,0.0336661849044,27.96
BD+82856,4452.15984123,1.1462307088500001,0,-1.96708569441,0.0634420023046,-14.5978231575
BD-133442,6365.41248186,3.97375815499,0,-2.727625,0.12068375080499999,14.4883784784
HD114710,6043.43162645,4.4002273039399995,2,-0.004204320863230001,0.0438651325031,2.03238691886
G20-15,6691.92121409,4.458710172819999,0,-1.4079188343,0.048205423310199995,1.69
HD218857,5041.42029255,2.6574492544,0,-1.7648356059499999,0.06944223975700001,17.65
HIP100963,5743.14594417,4.420073658430001,2,-0.0593429600896,0.0502507453314,17.58
