Name,HaKiDaSName,RA,DEC,DateObs,Wmin,Wmax,R,GaiaID,Gmag,Parallax,pmra,pmdec,rv_gaia
HD33771,HaKiDaS00085,77.709283,-37.819206,2003-02-21,408.39917680599996,689.276516732,50000.0,4820462183959704448,9.150828,1.07244152168,77.4537366753,-28.613068703200003,-13.446207211099999
HD68988,HaKiDaS00087,124.587883,61.459911,2002-05-18,432.317908288,722.6246319,90000.0,1090159839002347136,8.046111,16.40657673,128.32853349,30.269561769299997,-69.228000205
HD224959,HaKiDaS00088,0.534567,-2.821931,2001-07-26,348.45623066400003,530.8924873880001,90000.0,2448568453248165504,9.299823,1.13242973129,-37.551630111,-91.3470766735,-122.58395552200001
BD+12.2547,HaKiDaS00089,196.026492,11.436872,2001-07-28,348.261822059,530.577957718,60000.0,3736909550847197824,9.624098,0.80004554884,5.2216518841,-55.220016006499996,7.13371833143
G59-27,HaKiDaS00090,189.16581299999999,27.474814000000002,2008-07-28,400.29274298800004,681.655756568,51428.5714286,3962435539076449536,10.731667999999999,4.617777240940001,-211.752701824,-187.087617033,-126.528429282
BD+302611,HaKiDaS00091,226.720833,30.011046999999998,2003-02-20,408.80875796099997,689.9671444689999,50000.0,1275876252107941888,8.719325999999999,0.653452619436,13.839711848399999,-7.82860676127,-281.235381104
G53-41,HaKiDaS00092,156.850217,1.402303,2003-02-20,408.28600281800004,689.084530512,50000.0,3855475490307708032,10.865032000000001,6.00806556367,-186.566423798,-294.947515914,88.83770790940001
BD-18271,HaKiDaS00093,24.326804,-17.480803,2008-07-28,400.468810276,681.916617991,51428.5714286,2450584991932903168,9.335322,0.422290321549,6.218308363309999,-25.559411279899997,-209.898427145
CS29497-034,HaKiDaS00094,10.414096,-26.313578000000003,2008-08-19,411.386157635,689.437627936,45000.0,2343863021791098624,12.011674000000001,0.19888331594300002,18.8759079678,-24.9904331945,-42.9739941138
HD28185,HaKiDaS00095,66.61071700000001,-10.552261,2002-12-18,432.15839235199996,722.3568368639999,90000.0,3179384931394690304,7.6268163,25.364164077199998,84.0712605383,-59.7496893614,50.348209975699994
HD179949,HaKiDaS00097,288.890083,-24.181667,2002-05-16,432.31292623800005,722.619498075,90000.0,6770313530317154560,6.1039176,36.391547460700004,118.55214508799999,-102.235445065,-24.699848965500003
BD+06648,HaKiDaS00099,63.305025,6.602186,2003-12-09,400.30178965199997,681.7541832219999,60000.0,3297303572040367232,8.5714,0.795582062991,30.0893782154,-38.1464711526,-142.24241174600002
BD+06648,HaKiDaS00099,63.305025,6.602186,2007-01-26,435.628674643,714.0926411160001,36000.0,3297303572040367232,8.5714,0.795582062991,30.0893782154,-38.1464711526,-142.24241174600002
NGC2682141,HaKiDaS00100,132.84588300000001,11.802989,2006-01-21,438.61492162800005,713.813955543,60000.0,604917629355042176,10.165702,1.1978131469700002,-11.0483796482,-2.92747456741,34.075097024
